Long name,Source,Code,Series name,Unit,Beijing,Dalian,Guangzhou,Qingdao
"Percentage change in consumer price index in local currency (period average), over previous year.2015=100",Derived from China National Bureau of Statistics,DCPI,Consumer prices (% change pa; av),%,1.65,1.65,1.65,1.65
The consumer price index rebased to 2005=100 by the EIU,EIU calculation,CCPI,Consumer price index (1996=100; av),X,101.65,101.65,101.65,101.65
Exchange rate for the local currency against the US dollar at the end of the week of the price survey.,EIU Worldwide Cost of Living Survey,XRSD,Exchange rate LCU:USD (date of survey),CNY/USD,7.95,7.95,7.95,7.95
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FWBS,"White bread, 1 kg (supermarket)",CNY,12,11.43,13.33,10
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FWBM,"White bread, 1 kg (mid-priced store)",CNY,14,12,13.33,12.17
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FBUS,"Butter, 500 g (supermarket)",CNY,44.77,33.04,31.94,25
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FBUM,"Butter, 500 g (mid-priced store)",CNY,46.92,52.08,35.24,28
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FMGS,"Margarine, 500g (supermarket)",CNY,43.4,24.5,31.28,28.26
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FMGM,"Margarine, 500g (mid-priced store)",CNY,44.6,37.44,36.34,30.87
Representative local-currency price in a supermarket or equivalent high-volume outlet.,EIU Worldwide Cost of Living Survey,FWRS,"White rice, 1 kg (supermarket)",CNY,12,8,10.7,4.6
Representative local-currency price in a mid-priced store or equivalent middle-market retail outlet.,EIU Worldwide Cost of Living Survey,FWRM,"White rice, 1 kg (mid-priced store)",CNY,12.6,8,11.9,5
